LogID,UserID,UserIP,Timestamp,DateTime,Event,ImageID,Type
235,1,127.0.0.1,1500389193,2017-07-18 16:46:33.600,page loaded,102,None
236,1,127.0.0.1,1500389196,2017-07-18 16:46:36.267,page loaded,57,None
237,1,127.0.0.1,1500389197,2017-07-18 16:46:37.267,page loaded,57,None
238,1,127.0.0.1,1500389197,2017-07-18 16:46:37.987,page loaded,57,None
239,1,127.0.0.1,1500389198,2017-07-18 16:46:38.949,page loaded,103,None
240,1,127.0.0.1,1500389200,2017-07-18 16:46:40.706,page loaded,57,None
241,1,127.0.0.1,1500389202,2017-07-18 16:46:42.064,page loaded,104,None
242,1,127.0.0.1,1500389203,2017-07-18 16:46:43.119,page loaded,105,None
243,1,127.0.0.1,1500389204,2017-07-18 16:46:44.112,page loaded,57,None
244,1,127.0.0.1,1500389205,2017-07-18 16:46:45.239,page loaded,57,None
245,1,127.0.0.1,1500389206,2017-07-18 16:46:46.190,page loaded,57,None
246,1,127.0.0.1,1500389207,2017-07-18 16:46:47.003,page loaded,57,None
247,1,127.0.0.1,1500389207,2017-07-18 16:46:47.787,page loaded,57,None
248,1,127.0.0.1,1500389208,2017-07-18 16:46:48.886,page loaded,106,None
249,1,127.0.0.1,1500389218,2017-07-18 16:46:58.652,page loaded,57,None
250,1,127.0.0.1,1500389219,2017-07-18 16:46:59.782,page loaded,57,None
251,1,127.0.0.1,1500389430,2017-07-18 16:50:30.792,page loaded,107,None
252,1,127.0.0.1,1500389433,2017-07-18 16:50:33.171,page loaded,108,None
253,1,127.0.0.1,1500389434,2017-07-18 16:50:34.230,page loaded,109,None
254,1,127.0.0.1,1500389469,2017-07-18 16:51:09.194,page loaded,110,None
255,1,127.0.0.1,1500389936,2017-07-18 16:58:56.243,page loaded,111,None
256,1,127.0.0.1,1500389949,2017-07-18 16:59:09.361,page loaded,112,None
257,1,127.0.0.1,1500389952,2017-07-18 16:59:12.003,page loaded,113,None
258,1,127.0.0.1,1500389953,2017-07-18 16:59:13.917,skip,113,None
259,1,127.0.0.1,1500389959,2017-07-18 16:59:19.568,page loaded,114,None
260,1,127.0.0.1,1500389964,2017-07-18 16:59:24.950,skip,114,None
261,1,127.0.0.1,1500389965,2017-07-18 16:59:25.364,page loaded,57,None
262,1,127.0.0.1,1500389967,2017-07-18 16:59:27.926,skip,57,None
263,1,127.0.0.1,1500389968,2017-07-18 16:59:28.647,page loaded,115,None
264,1,127.0.0.1,1500389970,2017-07-18 16:59:30.394,skip,115,None
265,1,127.0.0.1,1500389970,2017-07-18 16:59:30.784,page loaded,57,None
266,1,127.0.0.1,1500389983,2017-07-18 16:59:43.545,skip,57,None
267,1,127.0.0.1,1500389984,2017-07-18 16:59:44.229,page loaded,116,None
268,1,127.0.0.1,1500389997,2017-07-18 16:59:57.195,skip,116,None
269,1,127.0.0.1,1500389997,2017-07-18 16:59:57.596,page loaded,57,None
270,10,10.122.0.47,1500447841,2017-07-19 07:04:01.310,page loaded,57,None
271,1,127.0.0.1,1500448287,2017-07-19 09:11:27.858,page loaded,117,None
272,2,10.120.21.78,1500448704,2017-07-19 07:18:24.878,page loaded,57,None
273,2,10.120.21.78,1500448706,2017-07-19 07:18:26.479,page loaded,57,None
274,1,127.0.0.1,1500449576,2017-07-19 09:32:56.815,page loaded,118,None
275,1,127.0.0.1,1500449577,2017-07-19 09:32:57.596,page loaded,57,None
276,1,127.0.0.1,1500449578,2017-07-19 09:32:58.299,page loaded,57,None
277,1,127.0.0.1,1500450969,2017-07-19 09:56:09.390,page loaded,57,None
278,1,127.0.0.1,1500453270,2017-07-19 10:34:30.513,page loaded,127,None
279,1,127.0.0.1,1500453273,2017-07-19 10:34:33.358,page loaded,128,None
280,1,127.0.0.1,1500453274,2017-07-19 10:34:34.678,page loaded,127,None
281,1,127.0.0.1,1500453275,2017-07-19 10:34:35.841,page loaded,122,None
282,1,127.0.0.1,1500453371,2017-07-19 10:36:11.288,page loaded,129,None
283,1,127.0.0.1,1500453372,2017-07-19 10:36:12.632,page loaded,122,None
284,1,127.0.0.1,1500453376,2017-07-19 10:36:16.305,page loaded,121,None
285,1,127.0.0.1,1500453377,2017-07-19 10:36:17.569,page loaded,125,None
286,1,127.0.0.1,1500453379,2017-07-19 10:36:19.098,page loaded,127,None
287,1,127.0.0.1,1500453380,2017-07-19 10:36:20.657,page loaded,120,None
288,1,127.0.0.1,1500453407,2017-07-19 10:36:47.110,page loaded,121,None
289,1,127.0.0.1,1500453408,2017-07-19 10:36:48.484,page loaded,122,None
290,1,127.0.0.1,1500453410,2017-07-19 10:36:50.277,page loaded,125,None
291,1,127.0.0.1,1500453413,2017-07-19 10:36:53.235,page loaded,120,None
292,1,127.0.0.1,1500453414,2017-07-19 10:36:54.607,page loaded,121,None
293,1,127.0.0.1,1500453415,2017-07-19 10:36:55.624,page loaded,120,None
294,1,127.0.0.1,1500453416,2017-07-19 10:36:56.543,page loaded,57,None
295,1,127.0.0.1,1500453417,2017-07-19 10:36:57.568,page loaded,127,None
296,1,127.0.0.1,1500453463,2017-07-19 10:37:43.931,page loaded,119,None
297,1,127.0.0.1,1500453482,2017-07-19 10:38:02.966,page loaded,127,None
298,1,127.0.0.1,1500453488,2017-07-19 10:38:08.437,page loaded,57,None
299,1,127.0.0.1,1500453489,2017-07-19 10:38:09.665,page loaded,120,None
300,1,127.0.0.1,1500453624,2017-07-19 10:40:24.314,page loaded,57,None
301,1,127.0.0.1,1500453624,2017-07-19 10:40:24.700,page loaded,126,None
302,1,127.0.0.1,1500453628,2017-07-19 10:40:28.363,page loaded,119,None
303,1,127.0.0.1,1500453629,2017-07-19 10:40:29.373,page loaded,119,None
304,1,127.0.0.1,1500453630,2017-07-19 10:40:30.174,page loaded,121,None
305,1,127.0.0.1,1500453631,2017-07-19 10:40:31.028,page loaded,127,None
306,1,127.0.0.1,1500453652,2017-07-19 10:40:52.403,page loaded,119,None
307,1,127.0.0.1,1500453654,2017-07-19 10:40:54.322,page loaded,57,None
308,1,127.0.0.1,1500453655,2017-07-19 10:40:55.200,page loaded,127,None
309,1,127.0.0.1,1500453657,2017-07-19 10:40:57.377,page loaded,125,None
310,1,127.0.0.1,1500453660,2017-07-19 10:41:00.210,page loaded,119,None
311,1,127.0.0.1,1500453661,2017-07-19 10:41:01.277,page loaded,122,None
312,1,127.0.0.1,1500453663,2017-07-19 10:41:03.179,page loaded,125,None
313,1,127.0.0.1,1500453699,2017-07-19 10:41:39.899,page loaded,120,None
314,1,127.0.0.1,1500453700,2017-07-19 10:41:40.961,page loaded,120,None
315,1,127.0.0.1,1500453702,2017-07-19 10:41:42.043,page loaded,120,None
316,1,127.0.0.1,1500453702,2017-07-19 10:41:42.971,page loaded,57,None
317,1,127.0.0.1,1500453703,2017-07-19 10:41:43.779,page loaded,126,None
318,1,127.0.0.1,1500453705,2017-07-19 10:41:45.941,page loaded,122,None
319,1,127.0.0.1,1500453706,2017-07-19 10:41:46.749,page loaded,120,None
